station_type,station_name,longitude,latitude,user_type,age,hour,num
start,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,51-60,0.0,214
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,51-60,0.0,115
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,51-60,0.0,64
start,Brunswick St,-74.0506564,40.7241765,Subscriber,31-35,0.0,76
end,Brunswick St,-74.0506564,40.7241765,Subscriber,31-35,0.0,256
start,Sip Ave,-74.06378388404846,40.73074262530658,Customer,,1.0,14
end,Sip Ave,-74.06378388404846,40.73074262530658,Customer,,1.0,7
start,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,26-30,1.0,342
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,26-30,1.0,124
start,Newark Ave,-74.046304543,40.72152515,Subscriber,36-40,1.0,88
end,Newark Ave,-74.046304543,40.72152515,Subscriber,36-40,1.0,71
start,Warren St,-74.03805095,40.7211236,Subscriber,26-30,1.0,56
end,Warren St,-74.03805095,40.7211236,Subscriber,26-30,1.0,62
start,Exchange Place,-74.0334588,40.7162469,Subscriber,21-25,2.0,31
end,Exchange Place,-74.0334588,40.7162469,Subscriber,21-25,2.0,7
start,Van Vorst Park,-74.047726625,40.71848892,Subscriber,36-40,2.0,11
end,Van Vorst Park,-74.047726625,40.71848892,Subscriber,36-40,2.0,33
start,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,21-25,2.0,59
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,21-25,2.0,10
start,Lincoln Park,-74.07840594649315,40.7246050998869,Subscriber,46-50,2.0,4
end,Lincoln Park,-74.07840594649315,40.7246050998869,Subscriber,46-50,2.0,10
start,Brunswick St,-74.0506564,40.7241765,Subscriber,41-45,3.0,2
end,Brunswick St,-74.0506564,40.7241765,Subscriber,41-45,3.0,11
start,Brunswick St,-74.0506564,40.7241765,Subscriber,36-40,3.0,2
end,Brunswick St,-74.0506564,40.7241765,Subscriber,36-40,3.0,11
start,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,21-25,3.0,23
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,21-25,3.0,8
start,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,31-35,3.0,111
end,Grove St PATH,-74.04311746358871,40.71958611647166,Subscriber,31-35,3.0,8
