source_id,target_id,value
9街HBLR-杰克逊街与8街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1004.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,9街HBLR-杰克逊街与8街交汇处,1472.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2383.0
9街HBLR-杰克逊街与8街交汇处,第8街与华盛顿街交汇处,1045.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第8街与华盛顿街交汇处,3108.0
9街HBLR-杰克逊街与8街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1277.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,克林顿街与第7街交汇处,1761.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1081.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第7街与门罗街交汇处,1899.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,哥伦布公园-克林顿街与9街交汇处,2086.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第11街与华盛顿广场交汇处,3718.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,教堂广场公园-第5街与公园大道交汇处,1538.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第4街与格兰德街交汇处,1941.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,布鲁姆菲尔德街与第15街交汇处,1310.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,格兰德街与第14街交汇处,1082.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,麦迪逊街与第1街交汇处,2229.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第14街渡轮站-第14街与船厂巷交汇处,2956.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,威洛大道与第12街交汇处,1089.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第12街与辛纳特拉德北部交汇处,2943.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,史蒂文斯-河滨大道与第6街交汇处,1007.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,哈德逊街与第4街交汇处,1537.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,西南公园-杰克逊街与观察者高速公路交汇处,1105.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,霍博肯大道与蒙茅斯街交汇处,1631.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,第6街与格兰德街交汇处,1625.0
霍博肯终点站-瑞弗街与哈德逊广场交汇处,亚当斯街与第11街交汇处,1138.0
第8街与华盛顿街交汇处,9街HBLR-杰克逊街与8街交汇处,1148.0
第8街与华盛顿街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2818.0
第8街与华盛顿街交汇处,第8街与华盛顿街交汇处,1807.0
第8街与华盛顿街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,2311.0
第8街与华盛顿街交汇处,市政厅-华盛顿广场与第1街交汇处,1456.0
第8街与华盛顿街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1991.0
第8街与华盛顿街交汇处,第14街渡轮站-第14街与船厂巷交汇处,1022.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,9街HBLR-杰克逊街与8街交汇处,1309.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1873.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,第8街与华盛顿街交汇处,1319.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1893.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,克林顿街与第7街交汇处,1368.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,第7街与门罗街交汇处,1790.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,哥伦布公园-克林顿街与9街交汇处,1265.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,第11街与华盛顿广场交汇处,1513.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,第4街与格兰德街交汇处,1441.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,麦迪逊街与第1街交汇处,5149.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,妈妈约翰逊球场-第4街与杰克逊街交汇处,1156.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,西南公园-杰克逊街与观察者高速公路交汇处,3576.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,霍博肯大道与蒙茅斯街交汇处,9061.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,马歇尔街与第2街交汇处,1135.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,第6街与格兰德街交汇处,1378.0
霍博肯终点站-哈德逊街与哈德逊广场交汇处,克林顿街与纽瓦克街交汇处,1337.0
中央大道,西普大道,1093.0
西普大道,西普大道,3593.0
西普大道,波什林菲尔德,4395.0
西普大道,奥克兰大道,5224.0
西普大道,纽波特公园道,1024.0
西普大道,纽瓦克大道,1028.0
西普大道,汉密尔顿公园,1001.0
西普大道,伦纳德·戈登公园,1953.0
西普大道,伯根大道,8772.0
西普大道,麦金利广场,19120.0
西普大道,费尔蒙特大道,5865.0
西普大道,基督医院,2479.0
西普大道,山顶,1300.0
西普大道,迪街,3046.0
西普大道,林肯公园,10574.0
西普大道,格伦伍德大道,3298.0
西普大道,鲍德温街与蒙哥马利街交汇处,9652.0
西普大道,联合街,3235.0
西普大道,阿斯特广场,9331.0
波什林菲尔德,西普大道,3703.0
五角路图书馆,波什林菲尔德,2090.0
波什林菲尔德,五角路图书馆,1479.0
波什林菲尔德,波什林菲尔德,2867.0
五角路图书馆,奥克兰大道,1529.0
波什林菲尔德,奥克兰大道,1701.0
波什林菲尔德,纽波特PATH站,1049.0
波什林菲尔德,新闻广场,3046.0
奥克兰大道,西普大道,7096.0
奥克兰大道,波什林菲尔德,1653.0
奥克兰大道,奥克兰大道,1670.0
奥克兰大道,纽瓦克大道,1171.0
奥克兰大道,格罗夫街PATH站,1111.0
奥克兰大道,新闻广场,4658.0
亚当斯街与第2街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1057.0
交易所广场,沃伦街,4038.0
交易所广场,交易所广场,2298.0
沃伦街,沃伦街,5989.0
沃伦街,交易所广场,4297.0
交易所广场,纽波特公园道,3989.0
沃伦街,纽波特公园道,5073.0
交易所广场,埃塞克斯轻轨,7605.0
沃伦街,埃塞克斯轻轨,2045.0
交易所广场,范福斯特公园,1825.0
沃伦街,范福斯特公园,1222.0
交易所广场,自由轻轨,2420.0
交易所广场,纽波特PATH站,3413.0
沃伦街,纽波特PATH站,5971.0
交易所广场,纽瓦克大道,1134.0
沃伦街,纽瓦克大道,1842.0
交易所广场,市政厅,2314.0
沃伦街,市政厅,1767.0
交易所广场,汉密尔顿公园,2128.0
沃伦街,汉密尔顿公园,3459.0
交易所广场,保罗斯胡克,2097.0
沃伦街,保罗斯胡克,2122.0
交易所广场,格罗夫街PATH站,2499.0
沃伦街,格罗夫街PATH站,4536.0
交易所广场,莫里斯运河,10462.0
沃伦街,莫里斯运河,2270.0
交易所广场,马林轻轨,2694.0
沃伦街,马林轻轨,2374.0
交易所广场,哥伦布大道,1378.0
沃伦街,哥伦布大道,3601.0
交易所广场,港岸边,1284.0
沃伦街,港岸边,2194.0
沃伦街,华盛顿广场,1989.0
沃伦街,哥伦布大道与交易所广场交汇处,1955.0
沃伦街,泽西市医疗中心,1466.0
沃伦街,格兰德街,1361.0
沃伦街,布伦斯威克街,1173.0
沃伦街,泽西街与第三街交汇处,1215.0
纽波特公园道,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1220.0
纽波特公园道,沃伦街,5405.0
纽波特公园道,交易所广场,3741.0
纽波特公园道,纽波特公园道,17294.0
纽波特公园道,埃塞克斯轻轨,2102.0
纽波特公园道,自由轻轨,1088.0
纽波特公园道,纽波特PATH站,10265.0
纽波特公园道,纽瓦克大道,1509.0
纽波特公园道,市政厅,1853.0
纽波特公园道,汉密尔顿公园,3862.0
纽波特公园道,保罗斯胡克,3039.0
纽波特公园道,格罗夫街PATH站,3813.0
纽波特公园道,莫里斯运河,1960.0
纽波特公园道,马林轻轨,1921.0
纽波特公园道,哥伦布大道,3580.0
纽波特公园道,港岸边,5063.0
纽波特公园道,华盛顿广场,4484.0
纽波特公园道,哥伦布大道与交易所广场交汇处,2403.0
纽波特公园道,泽西市医疗中心,1450.0
纽波特公园道,格兰德街,1674.0
纽波特公园道,南滨水步道-辛纳特拉大道与1街交汇处,2245.0
纽波特公园道,泽西街与第三街交汇处,1044.0
纽波特公园道,霍博肯大道与蒙茅斯街交汇处,1628.0
纽波特公园道,马尼拉街与第一街交汇处,1430.0
埃塞克斯轻轨,沃伦街,1704.0
埃塞克斯轻轨,交易所广场,7923.0
埃塞克斯轻轨,纽波特公园道,1823.0
埃塞克斯轻轨,埃塞克斯轻轨,3287.0
埃塞克斯轻轨,自由轻轨,1700.0
埃塞克斯轻轨,纽波特PATH站,3011.0
埃塞克斯轻轨,纽瓦克大道,1021.0
埃塞克斯轻轨,市政厅,1852.0
埃塞克斯轻轨,汉密尔顿公园,1090.0
埃塞克斯轻轨,保罗斯胡克,1599.0
埃塞克斯轻轨,格罗夫街PATH站,3270.0
埃塞克斯轻轨,莫里斯运河,1868.0
埃塞克斯轻轨,马林轻轨,2883.0
埃塞克斯轻轨,哥伦布大道,1657.0
埃塞克斯轻轨,华盛顿广场,1092.0
埃塞克斯轻轨,哥伦布大道与交易所广场交汇处,1820.0
埃塞克斯轻轨,泽西市医疗中心,1040.0
范福斯特公园,沃伦街,1335.0
范福斯特公园,交易所广场,2611.0
范福斯特公园,纽波特公园道,1058.0
范福斯特公园,范福斯特公园,5454.0
范福斯特公园,自由轻轨,2115.0
范福斯特公园,纽波特PATH站,1387.0
范福斯特公园,纽瓦克大道,1624.0
范福斯特公园,市政厅,3089.0
范福斯特公园,汉密尔顿公园,2423.0
范福斯特公园,保罗斯胡克,2032.0
范福斯特公园,格罗夫街PATH站,16857.0
范福斯特公园,马林轻轨,1703.0
范福斯特公园,哥伦布大道,1280.0
范福斯特公园,港岸边,1031.0
范福斯特公园,泽西市医疗中心,1333.0
范福斯特公园,泽西街与第三街交汇处,1855.0
自由轻轨,交易所广场,2388.0
自由轻轨,埃塞克斯轻轨,1187.0
自由轻轨,范福斯特公园,1849.0
自由轻轨,自由轻轨,22139.0
自由轻轨,纽瓦克大道,1832.0
自由轻轨,市政厅,6833.0
自由轻轨,保罗斯胡克,2625.0
自由轻轨,格罗夫街PATH站,11472.0
自由轻轨,马林轻轨,2054.0
自由轻轨,港岸边,1619.0
自由轻轨,哥伦布大道与交易所广场交汇处,1893.0
自由轻轨,泽西市医疗中心,2513.0
自由轻轨,拉法叶公园,1936.0
纽波特PATH站,沃伦街,7050.0
纽波特PATH站,交易所广场,3955.0
纽波特PATH站,纽波特公园道,10212.0
纽波特PATH站,埃塞克斯轻轨,2499.0
纽波特PATH站,范福斯特公园,1301.0
纽波特PATH站,自由轻轨,1136.0
纽波特PATH站,纽波特PATH站,5569.0
纽波特PATH站,纽瓦克大道,1799.0
纽波特PATH站,市政厅,1840.0
纽波特PATH站,汉密尔顿公园,14744.0
纽波特PATH站,保罗斯胡克,3148.0
纽波特PATH站,格罗夫街PATH站,3694.0
纽波特PATH站,莫里斯运河,2330.0
纽波特PATH站,马林轻轨,2403.0
纽波特PATH站,哥伦布大道,3372.0
纽波特PATH站,港岸边,10100.0
纽波特PATH站,华盛顿广场,4941.0
纽波特PATH站,哥伦布大道与交易所广场交汇处,1912.0
纽波特PATH站,泽西市医疗中心,1033.0
纽波特PATH站,格兰德街,2238.0
纽波特PATH站,泽西街与第三街交汇处,1449.0
纽波特PATH站,霍博肯大道与蒙茅斯街交汇处,2349.0
纽波特PATH站,马尼拉街与第一街交汇处,1155.0
纽波特PATH站,布伦斯威克街与第6街交汇处,1317.0
纽波特PATH站,蒙茅斯街与第六街交汇处,1096.0
纽波特PATH站,泽西街与第6街交汇处,1731.0
纽瓦克大道,沃伦街,1884.0
纽瓦克大道,交易所广场,1208.0
纽瓦克大道,纽波特公园道,1358.0
纽瓦克大道,埃塞克斯轻轨,1164.0
纽瓦克大道,范福斯特公园,2518.0
纽瓦克大道,自由轻轨,2319.0
纽瓦克大道,纽波特PATH站,1877.0
纽瓦克大道,纽瓦克大道,3032.0
纽瓦克大道,市政厅,1522.0
纽瓦克大道,汉密尔顿公园,6954.0
纽瓦克大道,保罗斯胡克,1278.0
纽瓦克大道,格罗夫街PATH站,5566.0
纽瓦克大道,马林轻轨,1890.0
纽瓦克大道,哥伦布大道,1003.0
纽瓦克大道,港岸边,1460.0
纽瓦克大道,华盛顿广场,1018.0
纽瓦克大道,泽西市医疗中心,2259.0
纽瓦克大道,布伦斯威克街,4111.0
纽瓦克大道,泽西街与第三街交汇处,1528.0
纽瓦克大道,布伦斯威克街与第6街交汇处,2766.0
纽瓦克大道,鲍德温街与蒙哥马利街交汇处,1004.0
纽瓦克大道,蒙茅斯街与第六街交汇处,2916.0
纽瓦克大道,泽西街与第6街交汇处,2466.0
纽瓦克大道,迪克森米尔斯,1285.0
市政厅,沃伦街,1682.0
市政厅,交易所广场,2613.0
市政厅,纽波特公园道,1856.0
市政厅,埃塞克斯轻轨,2175.0
市政厅,范福斯特公园,3330.0
市政厅,自由轻轨,5201.0
市政厅,纽波特PATH站,2369.0
市政厅,纽瓦克大道,1686.0
市政厅,市政厅,5471.0
市政厅,汉密尔顿公园,4083.0
市政厅,保罗斯胡克,2008.0
市政厅,格罗夫街PATH站,4093.0
市政厅,莫里斯运河,2224.0
市政厅,马林轻轨,4826.0
市政厅,哥伦布大道,1055.0
市政厅,港岸边,1623.0
市政厅,华盛顿广场,1267.0
市政厅,泽西市医疗中心,2468.0
市政厅,格兰德街,1669.0
市政厅,布伦斯威克街,1446.0
市政厅,康尼帕和贝里巷,1185.0
市政厅,拉法叶公园,2980.0
市政厅,泽西街与第三街交汇处,1099.0
汉密尔顿公园,沃伦街,3439.0
汉密尔顿公园,交易所广场,2832.0
汉密尔顿公园,纽波特公园道,3374.0
汉密尔顿公园,埃塞克斯轻轨,1045.0
汉密尔顿公园,范福斯特公园,2466.0
