层云/严寒,975
层云/寒冷,3042
层云/微凉,3556
层云/凉爽,7009
层云/温暖,63045
层云/炎热,43439
无云/严寒,1996
无云/寒冷,3155
无云/微凉,2943
无云/凉爽,4193
无云/温暖,6113
无云/炎热,624
多云/严寒,120
多云/寒冷,838
多云/微凉,1109
多云/凉爽,985
多云/温暖,12034
多云/炎热,1196
细雨/寒冷,372
细雨/微凉,682
细雨/凉爽,1231
细雨/温暖,1914
大雾/寒冷,2336
大雾/微凉,4111
大雾/凉爽,7599
大雾/温暖,11091
少云/凉爽,1203
少云/微凉,964
少云/温暖,2216
少云/寒冷,136
多云/凉爽,10450
多云/温暖,31955
多云/寒冷,4780
多云/微凉,7149
多云/严寒,1540
多云/炎热,2599
阴天/微凉,4952
阴天/寒冷,2916
阴天/凉爽,8046
阴天/温暖,13975
阴天/严寒,747
冻雨/寒冷,16
霜降/寒冷,513
霜降/严寒,365
大雨/凉爽,362
大雨/微凉,182
大雨/温暖,246
大雨/寒冷,14
小雨/微凉,5869
小雨/凉爽,7577
小雨/温暖,14350
小雨/炎热,514
小雨/寒冷,1888
少云/微凉,2034
少云/凉爽,1733
少云/温暖,11589
少云/严寒,595
少云/寒冷,885
少云/炎热,4732
半晴/微凉,11688
半晴/凉爽,20725
半晴/温暖,83797
半晴/严寒,2826
半晴/寒冷,7108
半晴/炎热,30511
小雪/严寒,1012
小雪/寒冷,1103
中雨/温暖,1206
中雨/寒冷,89
中雨/微凉,483
中雨/凉爽,709
雨夹雪/寒冷,335
雨夹雪/严寒,38
大雪/严寒,20
强雷暴/温暖,424
强雷暴/炎热,19
晴朗/严寒,1245
晴朗/寒冷,1168
晴朗/微凉,2608
晴朗/凉爽,4457
晴朗/温暖,8022
晴朗/炎热,577
雷暴/凉爽,85
雷暴/温暖,2334
雷暴/炎热,2089
